Phone Number,Customer_Category,Priority_Score,Priority_Level,Customer_Value_Score,Satisfaction_Score,Risk_Score,Upsell_Priority_Encoded
360-1596,PRIORITY_UPSELL_RETENTION,85.51947725870228,HIGH,0.01731590862340922,0.0,0.5,4
395-2854,STANDARD_UPSELL,30.59559646148705,LOW,0.01191192922974103,0.7,0.2,5
362-1407,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014321117127806492,0.3,0.5,1
341-9764,GENTLE_UPSELL,50.34550496031086,MEDIUM,0.00863762400777157,0.7,0.2,2
353-3305,STANDARD_UPSELL,30.553797994666514,LOW,0.011075959893330262,0.3,0.2,5
402-1381,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.012709282616532952,0.3,0.5,1
332-9891,STANDARD_UPSELL,30.6623513925941,LOW,0.013247027851882002,0.3,0.2,5
372-9976,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.009134816070935763,0.3,0.5,1
383-6029,PRIORITY_UPSELL_RETENTION,85.3670602860988,HIGH,0.01223534286996041,0.4,0.7,4
353-7289,STANDARD_UPSELL,30.63992407854945,LOW,0.012798481570988975,0.3,0.0,5
390-7274,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.00792361054689808,0.3,0.5,1
352-1237,STANDARD_UPSELL,30.60377811332761,LOW,0.012075562266552223,0.3,0.2,5
353-3061,STANDARD_UPSELL,30.45264417313401,LOW,0.009052883462680227,0.3,0.2,5
363-5450,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.012092135310757824,0.3,0.5,1
364-1995,STANDARD_UPSELL,30.622331059928694,LOW,0.012446621198573912,0.3,0.2,5
398-1294,PRIORITY_UPSELL_RETENTION,85.35688476019816,HIGH,0.011896158673271748,0.0,1.0,4
405-7146,STANDARD_UPSELL,30.457459199376057,LOW,0.009149183987521129,0.3,0.2,5
413-4957,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014689220135078791,0.3,0.5,1
420-5645,STANDARD_UPSELL,30.74025412838423,LOW,0.014805082567684614,0.3,0.2,5
349-4396,STANDARD_UPSELL,30.638575651949644,LOW,0.012771513038992852,0.3,0.2,5
404-3211,STANDARD_UPSELL,30.687775857262345,LOW,0.013755517145246926,0.3,0.2,5
353-3759,PRIORITY_UPSELL_RETENTION,85.35092101555757,HIGH,0.011697367185252612,0.0,1.0,4
363-5947,STANDARD_UPSELL,30.723557165380495,LOW,0.014471143307609907,0.3,0.2,5
340-5121,STANDARD_UPSELL,30.466621388905924,LOW,0.009332427778118477,0.3,0.2,5
370-7574,PRIORITY_UPSELL_RETENTION,85.30723348392218,HIGH,0.010241116130739247,0.0,1.0,4
403-9733,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.01111474675259746,0.3,0.5,1
355-7251,STANDARD_UPSELL,30.742210412389888,LOW,0.014844208247797785,0.3,0.2,5
359-5893,STANDARD_UPSELL,30.661968948248994,LOW,0.013239378964979898,0.3,0.2,5
405-3371,STANDARD_UPSELL,30.81155819562926,LOW,0.0162311639125852,0.3,0.2,5
344-5117,STANDARD_UPSELL,30.68020098018893,LOW,0.013604019603778592,0.3,0.2,5
332-8160,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014273291608180144,0.3,0.5,1
359-4081,STANDARD_UPSELL,30.39591494628738,LOW,0.0079182989257476,0.3,0.2,5
352-8305,STANDARD_UPSELL,30.47697450129539,LOW,0.00953949002590785,0.3,0.2,5
329-9847,GENTLE_UPSELL,50.59823010732392,MEDIUM,0.014955752683098034,0.7,0.2,2
365-9011,DO_NOT_DISTURB,4.5,MINIMAL,0.009363399875092328,0.7,0.2,0
338-9472,STANDARD_UPSELL,30.709338610979398,LOW,0.014186772219587944,0.3,0.2,5
374-8042,PRIORITY_UPSELL_RETENTION,85.36531160537571,HIGH,0.012177053512523668,0.0,1.0,4
359-1231,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.016932790694643013,0.3,0.3,1
413-7170,DO_NOT_DISTURB,4.5,MINIMAL,0.016361117495399837,0.7,0.2,0
415-2935,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014830307627106592,0.3,0.5,1
399-4246,STANDARD_UPSELL,30.67386796828228,LOW,0.01347735936564561,0.3,0.2,5
362-5889,DO_NOT_DISTURB,4.5,MINIMAL,0.014068100572957582,0.7,0.2,0
350-8921,STANDARD_UPSELL,30.548276860321753,LOW,0.010965537206435031,0.3,0.2,5
374-5353,PRIORITY_UPSELL_RETENTION,85.56359565381415,HIGH,0.01878652179380503,0.4,0.5,4
360-1171,PRIORITY_UPSELL_RETENTION,85.1268161429171,HIGH,0.004227204763903268,0.0,1.0,4
355-8887,STANDARD_UPSELL,30.611873532671716,LOW,0.012237470653434324,0.3,0.2,5
333-1967,STANDARD_UPSELL,30.575272596240133,LOW,0.011505451924802623,0.3,0.2,5
354-4577,STANDARD_UPSELL,30.873884657336312,LOW,0.017477693146726255,0.3,0.0,5
331-7425,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.016042626429610678,0.3,0.3,1
419-2637,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.009563840342844333,0.3,0.5,1
411-1530,STANDARD_UPSELL,30.86784217164593,LOW,0.017356843432918583,0.3,0.0,5
395-3026,PRIORITY_UPSELL_RETENTION,85.4656974284355,HIGH,0.015523247614516894,0.0,0.7,4
388-6441,DO_NOT_DISTURB,4.5,MINIMAL,0.015369030629889712,0.7,0.0,0
402-1251,PRIORITY_UPSELL_RETENTION,85.30591733907728,HIGH,0.0101972446359095,0.0,1.0,4
412-9997,STANDARD_UPSELL,30.73040525799385,LOW,0.014608105159877028,0.3,0.2,5
346-7302,STANDARD_UPSELL,30.467139202589156,LOW,0.009342784051783085,0.3,0.2,5
358-9095,PRIORITY_UPSELL_RETENTION,85.5232200756717,HIGH,0.017440669189056852,0.0,0.7,4
400-9770,STANDARD_UPSELL,30.472471112483355,LOW,0.009449422249667066,0.3,0.2,5
334-1275,PRIORITY_UPSELL_RETENTION,85.42752974448806,HIGH,0.014250991482935106,0.4,0.7,4
340-4953,STANDARD_UPSELL,30.48754683420767,LOW,0.00975093668415341,0.3,0.2,5
400-9510,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.016183900785596193,0.3,0.5,1
387-6103,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.011334755144850779,0.3,0.5,1
366-4467,STANDARD_UPSELL,30.697479102558113,LOW,0.01394958205116223,0.3,0.2,5
370-3450,STANDARD_UPSELL,30.5794728487824,LOW,0.011589456975648022,0.7,0.2,5
327-3954,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.013526572741482333,0.3,0.5,1
355-6291,PRIORITY_UPSELL_RETENTION,85.41842546375914,HIGH,0.013947515458637663,0.0,0.7,4
362-9748,PRIORITY_UPSELL_RETENTION,85.50918554155574,HIGH,0.01697285138519134,0.0,0.5,4
379-6506,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.012129511124021653,0.3,0.5,1
347-7741,DO_NOT_DISTURB,4.5,MINIMAL,0.011826822265354755,0.7,0.2,0
354-3783,DO_NOT_DISTURB,4.5,MINIMAL,0.009649980731957442,0.7,0.2,0
401-7594,STANDARD_UPSELL,30.547985133773498,LOW,0.01095970267546995,0.3,0.2,5
397-4976,STANDARD_UPSELL,30.63638095207507,LOW,0.01272761904150136,0.3,0.2,5
334-2577,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.015070460336792805,0.3,0.5,1
400-3637,STANDARD_UPSELL,30.819779800237608,LOW,0.016395596004752176,0.3,0.2,5
383-4361,STANDARD_UPSELL,30.45256323458955,LOW,0.009051264691790994,0.3,0.2,5
371-4306,STANDARD_UPSELL,30.520561222087032,LOW,0.010411224441740611,0.3,0.2,5
403-4298,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.015153412696219263,0.3,0.5,1
409-3786,STANDARD_UPSELL,30.69651979590313,LOW,0.013930395918062595,0.3,0.2,5
337-4697,STANDARD_UPSELL,30.70478204359727,LOW,0.014095640871945375,0.3,0.2,5
383-1509,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.01212895227013014,0.3,0.5,1
359-9794,STANDARD_UPSELL,30.581957967269414,LOW,0.011639159345388301,0.3,0.2,5
407-7035,STANDARD_UPSELL,30.293237619851794,LOW,0.005864752397035915,0.3,0.2,5
363-1069,PRIORITY_UPSELL_RETENTION,85.41487672650219,HIGH,0.013829224216739674,0.4,0.7,4
391-4652,STANDARD_UPSELL,30.425694232818863,LOW,0.008513884656377268,0.3,0.2,5
355-6837,PRIORITY_UPSELL_RETENTION,85.51635454212825,HIGH,0.017211818070941645,0.0,0.7,4
409-1244,STANDARD_UPSELL,30.420520013639685,LOW,0.008410400272793677,0.3,0.2,5
328-3266,STANDARD_UPSELL,30.748661908356535,LOW,0.014973238167130696,0.3,0.2,5
352-7072,STANDARD_UPSELL,30.71426219104286,LOW,0.014285243820857219,0.3,0.2,5
370-7550,GENTLE_UPSELL,50.44087734902326,MEDIUM,0.011021933725581494,0.7,0.2,2
369-5526,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.013406002037424335,0.3,0.5,1
329-4391,STANDARD_UPSELL,30.541801189339285,LOW,0.010836023786785736,0.3,0.2,5
408-4195,STANDARD_UPSELL,30.502451718992017,LOW,0.01004903437984031,0.3,0.2,5
354-4445,STANDARD_UPSELL,30.756925202711376,LOW,0.015138504054227536,0.3,0.2,5
335-4858,PRIORITY_UPSELL_RETENTION,85.20127969300044,HIGH,0.00670932310001479,0.0,1.0,4
414-8718,PRIORITY_UPSELL_RETENTION,85.33931606304414,HIGH,0.01131053543480454,0.0,1.0,4
409-5939,STANDARD_UPSELL,30.39434706298346,LOW,0.007886941259669227,0.3,0.2,5
331-4902,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014711162302900784,0.3,0.5,1
353-6870,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.01071281253354032,0.3,0.5,1
355-2909,STANDARD_UPSELL,30.56059369799855,LOW,0.011211873959970997,0.3,0.2,5
390-6101,STANDARD_UPSELL,30.819975295750424,LOW,0.016399505915008467,0.3,0.0,5
400-3446,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.013330503794009898,0.3,0.5,1
411-5859,STANDARD_UPSELL,30.72570869360945,LOW,0.014514173872189012,0.3,0.2,5
387-2919,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.01033387345791634,0.3,0.5,1
374-8525,FIX_FIRST_THEN_UPSELL,85.0,HIGH,0.012794302768859601,0.3,0.5,1
379-5592,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014023470489724563,0.3,0.5,1
345-8237,STANDARD_UPSELL,30.62188523723816,LOW,0.012437704744763224,0.3,0.2,5
422-6690,STANDARD_UPSELL,30.616749571861,LOW,0.012334991437219984,0.3,0.2,5
346-2359,STANDARD_UPSELL,30.667950973841318,LOW,0.013359019476826375,0.3,0.2,5
374-3534,DO_NOT_DISTURB,4.5,MINIMAL,0.01526965879080015,0.7,0.2,0
381-4756,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.012511288212920971,0.3,0.5,1
390-2805,STANDARD_UPSELL,30.7963053129581,LOW,0.01592610625916199,0.3,0.2,5
390-2390,PRIORITY_UPSELL_RETENTION,85.38424183434095,HIGH,0.012808061144698641,0.0,0.7,4
419-9097,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.013805763733904188,0.3,0.5,1
386-7281,STANDARD_UPSELL,30.597515461304216,LOW,0.011950309226084336,0.3,0.2,5
380-3561,STANDARD_UPSELL,30.810589983482934,LOW,0.016211799669658678,0.3,0.2,5
390-8760,STANDARD_UPSELL,30.64498825771216,LOW,0.012899765154243242,0.3,0.2,5
366-6730,STANDARD_UPSELL,30.870157659184038,LOW,0.017403153183680745,0.3,0.0,5
395-5285,STANDARD_UPSELL,30.687196579438567,LOW,0.013743931588771312,0.3,0.2,5
354-3436,STANDARD_UPSELL,30.54546028016387,LOW,0.01090920560327742,0.3,0.2,5
336-7600,STANDARD_UPSELL,30.58803529782121,LOW,0.011760705956424216,0.3,0.2,5
383-6293,STANDARD_UPSELL,30.7198142736933,LOW,0.014396285473865969,0.3,0.2,5
362-4596,FIX_FIRST_THEN_UPSELL,85.0,HIGH,0.016221098760419037,0.3,0.5,1
401-3926,DO_NOT_DISTURB,4.5,MINIMAL,0.016585616037528825,0.7,0.0,0
370-9116,PRIORITY_UPSELL_RETENTION,85.61065627350273,HIGH,0.020355209116757582,0.4,0.5,4
328-6289,DO_NOT_DISTURB,4.5,MINIMAL,0.014496693915822888,0.7,0.2,0
350-9994,STANDARD_UPSELL,30.633673243624564,LOW,0.012673464872491253,0.3,0.2,5
351-4616,STANDARD_UPSELL,30.511053532394765,LOW,0.010221070647895337,0.3,0.2,5
360-5779,DO_NOT_DISTURB,4.5,MINIMAL,0.008704177077226703,0.7,0.2,0
417-4885,DO_NOT_DISTURB,4.5,MINIMAL,0.016988727946475952,0.7,0.0,0
406-4710,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.01514385713761612,0.3,0.5,1
409-8743,STANDARD_UPSELL,30.372583901290042,LOW,0.00745167802580085,0.3,0.2,5
335-4584,STANDARD_UPSELL,30.630052663612375,LOW,0.01260105327224752,0.3,0.2,5
361-9845,STANDARD_UPSELL,30.824414735203135,LOW,0.01648829470406271,0.3,0.2,5
366-5699,STANDARD_UPSELL,30.711388185364413,LOW,0.014227763707288284,0.3,0.2,5
329-9364,STANDARD_UPSELL,30.822264732813462,LOW,0.01644529465626922,0.3,0.0,5
390-7434,STANDARD_UPSELL,30.544486806222903,LOW,0.010889736124458073,0.3,0.2,5
404-9680,GENTLE_UPSELL,50.517028711336266,MEDIUM,0.012925717783406716,0.7,0.2,2
338-9398,STANDARD_UPSELL,30.716390252903768,LOW,0.014327805058075327,0.3,0.2,5
394-2445,STANDARD_UPSELL,30.55557332311434,LOW,0.011111466462286819,0.3,0.2,5
381-2709,MINIMAL_CONTACT,10.302989239031778,MINIMAL,0.010099641301059262,0.3,0.5,3
397-5060,STANDARD_UPSELL,30.4394419998015,LOW,0.008788839996030003,0.3,0.2,5
415-2393,DO_NOT_DISTURB,4.5,MINIMAL,0.01479351134071826,0.7,0.2,0
377-1765,STANDARD_UPSELL,30.74843162531599,LOW,0.014968632506319855,0.3,0.2,5
409-2111,STANDARD_UPSELL,30.524654682622106,LOW,0.010493093652442123,0.7,0.2,5
401-3170,STANDARD_UPSELL,30.74613517758369,LOW,0.014922703551673777,0.3,0.2,5
405-5681,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.013073350433574774,0.3,0.5,1
411-4582,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.016318084668863635,0.3,0.3,1
355-5009,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.014933782709660365,0.3,0.5,1
372-3750,PRIORITY_UPSELL_RETENTION,85.15277821827397,HIGH,0.00509260727579866,0.0,1.0,4
405-2888,STANDARD_UPSELL,30.486120339591274,LOW,0.009722406791825474,0.3,0.2,5
361-3337,STANDARD_UPSELL,30.687131216914477,LOW,0.013742624338289523,0.3,0.2,5
350-1639,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.01755451649772174,0.3,0.5,1
333-3221,STANDARD_UPSELL,30.814596206343506,LOW,0.016291924126870135,0.3,0.0,5
422-1471,STANDARD_UPSELL,30.422676380537755,LOW,0.008453527610755126,0.3,0.2,5
399-7865,STANDARD_UPSELL,30.80002249064424,LOW,0.016000449812884784,0.3,0.2,5
373-4819,STANDARD_UPSELL,30.57794343494268,LOW,0.011558868698853596,0.3,0.2,5
338-6981,STANDARD_UPSELL,30.72824447358993,LOW,0.014564889471798553,0.3,0.2,5
418-4365,DO_NOT_DISTURB,4.5,MINIMAL,0.008848012647682117,0.7,0.2,0
359-5461,STANDARD_UPSELL,30.54057997501272,LOW,0.010811599500254346,0.3,0.2,5
375-3586,STANDARD_UPSELL,30.68795488993031,LOW,0.01375909779860621,0.3,0.2,5
407-8376,DO_NOT_DISTURB,4.5,MINIMAL,0.01026448093585322,0.7,0.2,0
408-6496,STANDARD_UPSELL,30.806990014026397,LOW,0.016139800280527958,0.3,0.2,5
385-7688,STANDARD_UPSELL,30.637327505600574,LOW,0.012746550112011496,0.3,0.2,5
332-6934,STANDARD_UPSELL,30.569924909440637,LOW,0.011398498188812747,0.7,0.2,5
378-3625,PRIORITY_UPSELL_RETENTION,85.61126736941337,HIGH,0.02037557898044576,0.0,0.7,4
353-7292,PRIORITY_UPSELL_RETENTION,85.58621073800302,HIGH,0.01954035793343377,0.0,0.8,4
399-6786,STANDARD_UPSELL,30.39671901385371,LOW,0.007934380277074143,0.7,0.2,5
358-3261,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.01188576232733931,0.3,0.5,1
377-9932,STANDARD_UPSELL,30.80934466772862,LOW,0.016186893354572435,0.3,0.0,5
397-4030,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.01438877617951382,0.3,0.5,1
367-1062,STANDARD_UPSELL,30.520970532353438,LOW,0.010419410647068758,0.3,0.2,5
341-8467,STANDARD_UPSELL,30.68006899131014,LOW,0.013601379826202768,0.3,0.2,5
339-9453,STANDARD_UPSELL,30.4526882439753,LOW,0.009053764879505951,0.3,0.2,5
344-3388,STANDARD_UPSELL,30.658359819677933,LOW,0.013167196393558633,0.3,0.2,5
375-8013,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.012587658218954152,0.3,0.5,1
408-4142,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.01423106332212015,0.3,0.5,1
386-3671,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.016413623331125077,0.3,0.5,1
411-2284,STANDARD_UPSELL,30.722430872532108,LOW,0.014448617450642125,0.3,0.2,5
346-7795,DO_NOT_DISTURB,4.5,MINIMAL,0.015695563917346993,0.7,0.2,0
333-5609,STANDARD_UPSELL,30.5678233963273,LOW,0.011356467926545965,0.3,0.2,5
405-1842,STANDARD_UPSELL,30.531095957251374,LOW,0.01062191914502749,0.3,0.2,5
366-6345,PRIORITY_UPSELL_RETENTION,85.41881624061331,HIGH,0.01396054135377686,0.0,0.7,4
337-9345,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.012533938948361993,0.3,0.5,1
328-6770,DO_NOT_DISTURB,4.5,MINIMAL,0.010621391482458905,0.7,0.2,0
380-7321,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014145569806150069,0.3,0.5,1
375-1476,PRIORITY_UPSELL_RETENTION,85.53191364934953,HIGH,0.017730454978317912,0.0,0.7,4
356-1567,DO_NOT_DISTURB,4.5,MINIMAL,0.012247822393067513,0.7,0.2,0
422-6685,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.011790409177271869,0.3,0.5,1
336-1090,STANDARD_UPSELL,30.62354034724986,LOW,0.012470806944997206,0.3,0.2,5
343-2095,STANDARD_UPSELL,30.59197320711266,LOW,0.011839464142253144,0.3,0.2,5
345-3934,STANDARD_UPSELL,30.54775285149801,LOW,0.010955057029960203,0.3,0.2,5
338-8050,STANDARD_UPSELL,30.358256639613217,LOW,0.007165132792264365,0.3,0.2,5
388-9568,STANDARD_UPSELL,30.74134858644328,LOW,0.01482697172886557,0.3,0.2,5
402-6591,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.015561229079293151,0.3,0.5,1
403-6419,STANDARD_UPSELL,30.567833958228253,LOW,0.011356679164565033,0.3,0.2,5
386-9790,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.017359676320028314,0.3,0.5,1
378-5692,GENTLE_UPSELL,50.60570948072554,MEDIUM,0.015142737018138385,0.7,0.2,2
360-3324,PRIORITY_UPSELL_RETENTION,85.5217186267867,HIGH,0.017390620892889615,0.4,0.7,4
410-3719,STANDARD_UPSELL,30.769526134724835,LOW,0.0153905226944967,0.3,0.2,5
352-4221,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014226747473590136,0.3,0.5,1
327-6179,STANDARD_UPSELL,30.572734094043494,LOW,0.011454681880869875,0.7,0.2,5
359-6196,STANDARD_UPSELL,30.68407401073029,LOW,0.01368148021460576,0.3,0.2,5
374-9107,PRIORITY_UPSELL_RETENTION,85.34010086873978,HIGH,0.011336695624659483,0.0,1.0,4
357-4078,STANDARD_UPSELL,30.617517415334376,LOW,0.012350348306687537,0.3,0.2,5
366-5780,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.007798890869326469,0.3,0.5,1
393-9619,DO_NOT_DISTURB,4.5,MINIMAL,0.008297962774239052,0.7,0.2,0
355-9295,STANDARD_UPSELL,30.562401775570194,LOW,0.011248035511403895,0.3,0.2,5
400-5751,DO_NOT_DISTURB,4.5,MINIMAL,0.01255093790966541,0.7,0.2,0
338-1027,PRIORITY_UPSELL_RETENTION,85.30026961376625,HIGH,0.010008987125541362,0.0,0.7,4
405-8867,STANDARD_UPSELL,30.789790932540072,LOW,0.01579581865080147,0.3,0.0,5
336-5616,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.01377189253742045,0.3,0.5,1
335-1697,PRIORITY_UPSELL_RETENTION,85.5260262673158,HIGH,0.017534208910526525,0.5,0.5,4
331-5138,GENTLE_UPSELL,50.3001981618138,MEDIUM,0.007504954045345162,0.7,0.2,2
385-8240,DO_NOT_DISTURB,4.5,MINIMAL,0.0057167067030131705,0.7,0.2,0
348-1359,STANDARD_UPSELL,30.68107134745649,LOW,0.013621426949129803,0.7,0.2,5
354-7339,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.013377520401672541,0.3,0.5,1
349-1687,STANDARD_UPSELL,30.711736367675403,LOW,0.014234727353508031,0.3,0.2,5
380-2558,PRIORITY_UPSELL_RETENTION,85.30268381387823,HIGH,0.010089460462607683,0.0,1.0,4
365-2153,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.013643594585755377,0.3,0.5,1
345-6043,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014102649897726444,0.3,0.5,1
349-2808,DO_NOT_DISTURB,4.5,MINIMAL,0.010882831369024027,0.7,0.2,0
411-1715,DO_NOT_DISTURB,4.5,MINIMAL,0.01253730504697991,0.7,0.2,0
385-2488,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.012477331609630896,0.3,0.5,1
377-7177,STANDARD_UPSELL,30.53206975614184,LOW,0.010641395122836843,0.3,0.2,5
342-1099,STANDARD_UPSELL,30.4953960122902,LOW,0.009907920245804022,0.3,0.2,5
386-4170,PRIORITY_UPSELL_RETENTION,85.20827472524718,HIGH,0.006942490841572571,0.0,0.7,4
413-1269,STANDARD_UPSELL,30.56596042362272,LOW,0.011319208472454384,0.3,0.2,5
396-4460,STANDARD_UPSELL,30.568180938296923,LOW,0.011363618765938454,0.3,0.2,5
334-2730,STANDARD_UPSELL,30.532101089333274,LOW,0.010642021786665509,0.3,0.2,5
340-3182,STANDARD_UPSELL,30.571055448805545,LOW,0.011421108976110931,0.3,0.2,5
377-8608,STANDARD_UPSELL,30.657663090038888,LOW,0.013153261800777749,0.3,0.2,5
417-3676,STANDARD_UPSELL,30.81881697174067,LOW,0.01637633943481341,0.3,0.2,5
417-6774,STANDARD_UPSELL,30.851984375250908,LOW,0.017039687505018143,0.3,0.0,5
411-9554,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.015255983237411593,0.3,0.5,1
420-3192,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.01146807146019865,0.3,0.5,1
389-1475,STANDARD_UPSELL,30.273181381635716,LOW,0.005463627632714292,0.7,0.2,5
343-7734,STANDARD_UPSELL,30.560656981410844,LOW,0.011213139628216882,0.3,0.2,5
410-3390,DO_NOT_DISTURB,4.5,MINIMAL,0.015654952473773714,0.7,0.2,0
344-6495,STANDARD_UPSELL,30.509327475582957,LOW,0.010186549511659112,0.3,0.2,5
331-6229,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014434091654817289,0.3,0.5,1
337-7501,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014999542470760708,0.3,0.5,1
339-9631,STANDARD_UPSELL,30.58397616669146,LOW,0.011679523333829215,0.3,0.2,5
369-4384,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.014111876432611928,0.3,0.5,1
416-3915,DO_NOT_DISTURB,4.5,MINIMAL,0.015568403340007508,0.7,0.2,0
