Phone Number,Customer_Category,Priority_Score,Satisfaction_Score,Customer_Value_Score,Account Length,Total_Charges
361-8239,DO_NOT_DISTURB,4.5,0.7,0.010498444574248842,109,51.400000000000006
337-6898,DO_NOT_DISTURB,4.5,0.7,0.011139058584685892,91,53.54
366-8036,DO_NOT_DISTURB,4.5,0.7,0.014851456883947541,105,66.17999999999999
421-3528,DO_NOT_DISTURB,4.5,0.7,0.015606537779881156,139,67.78999999999999
355-6560,DO_NOT_DISTURB,4.5,0.7,0.01528249050883392,102,68.66
402-9691,DO_NOT_DISTURB,4.5,0.7,0.014351666082671634,109,64.43
379-6652,DO_NOT_DISTURB,4.5,0.7,0.0055070447150102194,95,33.39
403-2455,DO_NOT_DISTURB,4.5,0.7,0.011088810716550821,100,52.800000000000004
398-9870,DO_NOT_DISTURB,4.5,0.7,0.011727410431449056,190,51.60999999999999
343-3356,DO_NOT_DISTURB,4.5,0.7,0.015674835936380933,165,66.5
415-8151,DO_NOT_DISTURB,4.5,0.7,0.012739254377115122,150,57.28
336-1749,DO_NOT_DISTURB,4.5,0.7,0.015179892928471724,123,66.39
369-5222,DO_NOT_DISTURB,4.5,0.7,0.01266826523468596,129,57.67
392-5512,DO_NOT_DISTURB,4.5,0.7,0.013065894288785015,126,58.78
417-8617,DO_NOT_DISTURB,4.5,0.7,0.013918432541210463,140,61.53
361-9621,DO_NOT_DISTURB,4.5,0.7,0.010593538450094118,169,47.97
419-3167,DO_NOT_DISTURB,4.5,0.7,0.009016664509156655,106,45.81
368-8600,DO_NOT_DISTURB,4.5,0.7,0.013252025764604337,83,62.14
405-9384,DO_NOT_DISTURB,4.5,0.7,0.016765106760928114,153,71.24
331-3174,DO_NOT_DISTURB,4.5,0.7,0.004098815074763441,131,27.54
383-8695,DO_NOT_DISTURB,4.5,0.7,0.013894885720102204,101,63.5
386-5303,DO_NOT_DISTURB,4.5,0.7,0.011428583369383665,151,52.47
361-1581,DO_NOT_DISTURB,4.5,0.7,0.009860625342174169,107,48.419999999999995
338-7886,DO_NOT_DISTURB,4.5,0.7,0.014105414342907817,98,64.49
332-5596,DO_NOT_DISTURB,4.5,0.7,0.00724908113517898,121,38.94
348-9945,DO_NOT_DISTURB,4.5,0.7,0.008537037679049883,94,45.06999999999999
360-9676,DO_NOT_DISTURB,4.5,0.7,0.012108085653693177,100,56.94
352-8249,DO_NOT_DISTURB,4.5,0.7,0.014191882681350805,151,61.949999999999996
394-1211,DO_NOT_DISTURB,4.5,0.7,0.010230760865166551,101,50.04
348-3444,DO_NOT_DISTURB,4.5,0.7,0.012867690353532945,120,58.48
358-5826,DO_NOT_DISTURB,4.5,0.7,0.013885111082843498,85,64.27
416-9522,DO_NOT_DISTURB,4.5,0.7,0.015650911663968214,92,70.89
341-3180,DO_NOT_DISTURB,4.5,0.7,0.016365909898520114,84,72.46000000000001
333-4154,DO_NOT_DISTURB,4.5,0.7,0.0119518647576239,83,57.94
330-3589,DO_NOT_DISTURB,4.5,0.7,0.011028605295912833,137,51.83
366-9074,DO_NOT_DISTURB,4.5,0.7,0.015523520494348625,166,65.77
343-6314,DO_NOT_DISTURB,4.5,0.7,0.013122614336411476,143,58.03
397-6255,DO_NOT_DISTURB,4.5,0.7,0.013962104946325967,100,64.06
375-3658,DO_NOT_DISTURB,4.5,0.7,0.014056501593038902,81,65.15
408-4323,DO_NOT_DISTURB,4.5,0.7,0.0159873918315123,149,68.53
354-9492,DO_NOT_DISTURB,4.5,0.7,0.015193514676344543,166,65.14
385-7922,DO_NOT_DISTURB,4.5,0.7,0.015897282564944097,119,69.81
420-9575,DO_NOT_DISTURB,4.5,0.7,0.011976595080480905,123,54.870000000000005
386-2317,DO_NOT_DISTURB,4.5,0.7,0.008957450826507174,103,45.599999999999994
386-9141,DO_NOT_DISTURB,4.5,0.7,0.009636702063236562,103,48.77
416-5623,DO_NOT_DISTURB,4.5,0.7,0.01368018970263886,124,61.5
399-8615,DO_NOT_DISTURB,4.5,0.7,0.014886648015173436,108,66.73
418-5141,DO_NOT_DISTURB,4.5,0.7,0.008156183860598097,127,41.150000000000006
350-9228,DO_NOT_DISTURB,4.5,0.7,0.012398347060088018,143,56.42999999999999
407-5774,DO_NOT_DISTURB,4.5,0.7,0.009255564551266061,81,48.129999999999995
334-1508,DO_NOT_DISTURB,4.5,0.7,0.01363668566970153,91,62.43
417-2716,DO_NOT_DISTURB,4.5,0.7,0.013940239682942807,117,62.629999999999995
403-3229,DO_NOT_DISTURB,4.5,0.7,0.01366223145287461,126,61.51
389-6790,DO_NOT_DISTURB,4.5,0.7,0.012391925499505099,114,57.230000000000004
375-8238,DO_NOT_DISTURB,4.5,0.7,0.01388519873033388,144,60.919999999999995
402-2728,DO_NOT_DISTURB,4.5,0.7,0.016306041844112447,97,72.14
372-4835,DO_NOT_DISTURB,4.5,0.7,0.013568006544424523,93,62.85
328-2110,DO_NOT_DISTURB,4.5,0.7,0.010256342895192725,137,49.0
330-5255,DO_NOT_DISTURB,4.5,0.7,0.009890643800002019,104,48.76
353-7096,DO_NOT_DISTURB,4.5,0.7,0.010620238170969827,161,48.35000000000001
348-2150,DO_NOT_DISTURB,4.5,0.7,0.010747888775705018,179,48.21
330-6630,DO_NOT_DISTURB,4.5,0.7,0.011876020344485936,165,53.900000000000006
345-2108,DO_NOT_DISTURB,4.5,0.7,0.016424627511424865,105,72.31
342-6316,DO_NOT_DISTURB,4.5,0.7,0.008391286964265731,102,43.410000000000004
336-5920,DO_NOT_DISTURB,4.5,0.7,0.015985358952497832,122,69.83
388-8670,DO_NOT_DISTURB,4.5,0.7,0.011408077059895775,154,52.0
337-3769,DO_NOT_DISTURB,4.5,0.7,0.015608875868257226,116,68.61999999999999
421-7214,DO_NOT_DISTURB,4.5,0.7,0.009194019232557218,87,47.519999999999996
381-9234,DO_NOT_DISTURB,4.5,0.7,0.017018788317405213,161,71.63999999999999
387-9855,DO_NOT_DISTURB,4.5,0.7,0.008684582071009408,91,44.99
365-5886,DO_NOT_DISTURB,4.5,0.7,0.016728344852469976,158,70.37
373-5196,DO_NOT_DISTURB,4.5,0.7,0.012757521695735073,102,58.910000000000004
327-6194,DO_NOT_DISTURB,4.5,0.7,0.014049422967499949,85,64.93
396-4845,DO_NOT_DISTURB,4.5,0.7,0.016412563544242396,103,72.44
375-8304,DO_NOT_DISTURB,4.5,0.7,0.01205720807370396,92,58.029999999999994
385-3263,DO_NOT_DISTURB,4.5,0.7,0.01635569448138787,117,71.02
396-6775,DO_NOT_DISTURB,4.5,0.7,0.01203883762563301,124,55.99
358-1778,DO_NOT_DISTURB,4.5,0.7,0.01248591158365488,110,57.98
363-2602,DO_NOT_DISTURB,4.5,0.7,0.012408964889554466,114,57.36
337-4101,DO_NOT_DISTURB,4.5,0.7,0.010489055237397833,105,50.629999999999995
366-4225,DO_NOT_DISTURB,4.5,0.7,0.01140599492055282,131,53.160000000000004
333-3704,DO_NOT_DISTURB,4.5,0.7,0.015218115476816297,115,67.49
335-3320,DO_NOT_DISTURB,4.5,0.7,0.010757808752514659,118,51.260000000000005
352-7413,DO_NOT_DISTURB,4.5,0.7,0.009374991883884647,82,47.69
415-2176,DO_NOT_DISTURB,4.5,0.7,0.01449204435980618,159,62.54
345-2863,DO_NOT_DISTURB,4.5,0.7,0.015284061448610092,105,67.67999999999999
340-4627,DO_NOT_DISTURB,4.5,0.7,0.01563084571157986,95,70.21
418-8170,DO_NOT_DISTURB,4.5,0.7,0.012474045168129257,119,58.03
347-7773,DO_NOT_DISTURB,4.5,0.7,0.009832059574754278,128,47.43999999999999
349-9060,DO_NOT_DISTURB,4.5,0.7,0.010676438150678529,173,48.97999999999999
392-2268,DO_NOT_DISTURB,4.5,0.7,0.013882269460186909,108,63.339999999999996
373-7037,DO_NOT_DISTURB,4.5,0.7,0.012061574056199764,134,55.699999999999996
386-7456,DO_NOT_DISTURB,4.5,0.7,0.011909287190208109,130,54.71
353-6218,DO_NOT_DISTURB,4.5,0.7,0.011145048732933347,87,54.31
369-5942,DO_NOT_DISTURB,4.5,0.7,0.008139215513766437,149,41.03
385-3111,DO_NOT_DISTURB,4.5,0.7,0.010812997247152012,86,52.129999999999995
350-7344,DO_NOT_DISTURB,4.5,0.7,0.010300790531190722,92,51.040000000000006
416-9021,DO_NOT_DISTURB,4.5,0.7,0.014590230488891845,144,63.36
373-6681,DO_NOT_DISTURB,4.5,0.7,0.012549137402634544,162,55.99
339-6968,DO_NOT_DISTURB,4.5,0.7,0.011316777621578159,91,55.15
368-2074,DO_NOT_DISTURB,4.5,0.7,0.013500749674561134,101,61.96
373-5670,DO_NOT_DISTURB,4.5,0.7,0.010504739362035376,90,51.2
411-1810,DO_NOT_DISTURB,4.5,0.7,0.015432186778476062,131,67.56
390-7863,DO_NOT_DISTURB,4.5,0.7,0.012128167784891125,111,56.87
414-7410,DO_NOT_DISTURB,4.5,0.7,0.011150185924273625,109,53.28
382-1104,DO_NOT_DISTURB,4.5,0.7,0.011096719307265348,129,51.43000000000001
355-9324,DO_NOT_DISTURB,4.5,0.7,0.01566671484944258,92,70.44999999999999
401-4052,DO_NOT_DISTURB,4.5,0.7,0.015325594483302634,120,67.9
347-3958,DO_NOT_DISTURB,4.5,0.7,0.012137689781372262,87,58.01
392-6331,DO_NOT_DISTURB,4.5,0.7,0.014522847232237615,111,65.01
338-6550,DO_NOT_DISTURB,4.5,0.7,0.01524437304230499,111,67.66999999999999
359-2915,DO_NOT_DISTURB,4.5,0.7,0.009663752907340253,136,46.239999999999995
381-4562,DO_NOT_DISTURB,4.5,0.7,0.011164925927040836,123,52.11
337-4749,DO_NOT_DISTURB,4.5,0.7,0.012553860075881896,97,58.76
403-5552,DO_NOT_DISTURB,4.5,0.7,0.015809346293089544,84,70.49
341-5892,DO_NOT_DISTURB,4.5,0.7,0.009195956145530782,113,45.58
366-4444,DO_NOT_DISTURB,4.5,0.7,0.01700587648705228,170,71.22999999999999
368-5647,DO_NOT_DISTURB,4.5,0.7,0.01118636404755031,103,53.99
417-5813,DO_NOT_DISTURB,4.5,0.7,0.013011678698335288,112,59.79
375-1721,DO_NOT_DISTURB,4.5,0.7,0.010443889178823362,126,50.129999999999995
406-4840,DO_NOT_DISTURB,4.5,0.7,0.012969173282604347,95,60.1
379-9821,DO_NOT_DISTURB,4.5,0.7,0.01102717197092173,99,53.17
386-6535,DO_NOT_DISTURB,4.5,0.7,0.011804361700476525,122,54.72
335-8836,DO_NOT_DISTURB,4.5,0.7,0.01277366513704851,160,56.37
335-3880,DO_NOT_DISTURB,4.5,0.7,0.009076340515611871,93,46.839999999999996
366-7331,DO_NOT_DISTURB,4.5,0.7,0.013838604933914448,95,63.56
377-6635,DO_NOT_DISTURB,4.5,0.7,0.008138535561793604,145,40.25
355-3620,DO_NOT_DISTURB,4.5,0.7,0.00848957037542618,195,39.120000000000005
333-9728,DO_NOT_DISTURB,4.5,0.7,0.013972013556559594,123,62.94
336-7143,DO_NOT_DISTURB,4.5,0.7,0.010227014361816266,140,48.13
346-6352,DO_NOT_DISTURB,4.5,0.7,0.013584616562071999,121,61.190000000000005
377-9178,DO_NOT_DISTURB,4.5,0.7,0.011897942068376114,103,55.72
345-5639,DO_NOT_DISTURB,4.5,0.7,0.016637918178872967,116,72.23
346-8368,DO_NOT_DISTURB,4.5,0.7,0.016614517921441026,128,71.69
328-2982,DO_NOT_DISTURB,4.5,0.7,0.007422378592800883,95,40.32
353-6038,DO_NOT_DISTURB,4.5,0.7,0.013141968728507742,128,60.050000000000004
385-7861,DO_NOT_DISTURB,4.5,0.7,0.015938263683004508,81,71.47
405-1132,DO_NOT_DISTURB,4.5,0.7,0.015174821808260727,86,68.61999999999999
384-6654,DO_NOT_DISTURB,4.5,0.7,0.014718653088539894,106,65.62
376-5201,DO_NOT_DISTURB,4.5,0.7,0.008643633039182287,123,43.730000000000004
353-2080,DO_NOT_DISTURB,4.5,0.7,0.010404866451372858,94,50.66
414-2905,DO_NOT_DISTURB,4.5,0.7,0.01863703592944029,120,79.30000000000001
402-4501,DO_NOT_DISTURB,4.5,0.7,0.013003676512378933,115,59.0
392-5941,DO_NOT_DISTURB,4.5,0.7,0.01619389240209729,95,71.16000000000001
334-5844,DO_NOT_DISTURB,4.5,0.7,0.0077864380970698414,83,42.47
357-1700,DO_NOT_DISTURB,4.5,0.7,0.011254700240723906,104,53.58
346-4216,DO_NOT_DISTURB,4.5,0.7,0.014819559976818275,154,64.33
370-9533,DO_NOT_DISTURB,4.5,0.7,0.003810092237719268,138,25.52
369-3756,DO_NOT_DISTURB,4.0,0.7999999999999999,0.018413743449550914,100,78.89
360-8135,DO_NOT_DISTURB,4.5,0.7,0.012201891669873762,112,56.89
399-5426,DO_NOT_DISTURB,4.5,0.7,0.013928619861718547,87,63.94
398-5788,DO_NOT_DISTURB,4.5,0.7,0.014295089424920537,102,64.27
390-4003,DO_NOT_DISTURB,4.5,0.7,0.00736046937903477,130,38.59
341-9274,DO_NOT_DISTURB,4.5,0.7,0.01243767129994995,132,57.22
384-5343,DO_NOT_DISTURB,4.5,0.7,0.01174177845274922,93,55.849999999999994
392-8318,DO_NOT_DISTURB,4.5,0.7,0.014389977967952083,133,63.19
339-7485,DO_NOT_DISTURB,4.5,0.7,0.01409884758135574,138,62.74000000000001
366-2541,DO_NOT_DISTURB,4.5,0.7,0.010693666837653387,83,52.42
406-7726,DO_NOT_DISTURB,4.5,0.7,0.012359106219527748,130,55.870000000000005
368-6174,DO_NOT_DISTURB,4.5,0.7,0.010299499517347648,119,49.81
413-1789,DO_NOT_DISTURB,4.5,0.7,0.011720851632181766,134,53.78
414-1246,DO_NOT_DISTURB,4.5,0.7,0.014945074372337528,127,65.1
386-1631,DO_NOT_DISTURB,4.5,0.7,0.012482646384959753,153,56.45
374-8187,DO_NOT_DISTURB,4.5,0.7,0.01764649828442389,120,75.54
355-6826,DO_NOT_DISTURB,4.5,0.7,0.015815174019599358,134,68.27999999999999
390-2433,DO_NOT_DISTURB,4.5,0.7,0.01234245001497751,146,55.8
364-4927,DO_NOT_DISTURB,4.5,0.7,0.01298132176168279,106,59.5
343-3227,DO_NOT_DISTURB,4.5,0.7,0.01902937472519318,142,79.19
409-5519,DO_NOT_DISTURB,4.5,0.7,0.011841849579488679,116,54.96
393-3194,DO_NOT_DISTURB,4.5,0.7,0.010698170034871422,133,51.29
401-2581,DO_NOT_DISTURB,4.5,0.7,0.010992793931901921,130,51.26
361-1404,DO_NOT_DISTURB,4.5,0.7,0.011064047775844556,92,53.650000000000006
350-2384,DO_NOT_DISTURB,4.5,0.7,0.013860336696459048,107,63.42
341-3349,DO_NOT_DISTURB,4.5,0.7,0.015270799531210405,124,66.92
341-1594,DO_NOT_DISTURB,4.5,0.7,0.011532119467536558,89,55.85999999999999
332-9118,DO_NOT_DISTURB,4.5,0.7,0.012824939569276512,101,59.870000000000005
402-2482,DO_NOT_DISTURB,4.5,0.7,0.014591529360304903,117,64.88
408-1340,DO_NOT_DISTURB,4.5,0.7,0.015419651927291224,138,66.65
358-7379,DO_NOT_DISTURB,4.5,0.7,0.013718379160997801,112,62.29999999999999
343-5347,DO_NOT_DISTURB,4.5,0.7,0.014712486548000359,172,62.400000000000006
333-2906,DO_NOT_DISTURB,4.5,0.7,0.016735142255664526,133,72.33999999999999
360-7477,DO_NOT_DISTURB,4.5,0.7,0.014255931445017297,116,63.510000000000005
383-2901,DO_NOT_DISTURB,4.5,0.7,0.012984944097653217,142,58.11
398-3004,DO_NOT_DISTURB,4.5,0.7,0.012644964121435443,86,59.809999999999995
377-7843,DO_NOT_DISTURB,4.5,0.7,0.017312959856079876,195,70.86999999999999
382-7999,DO_NOT_DISTURB,4.5,0.7,0.009965152721462214,182,44.63999999999999
336-1574,DO_NOT_DISTURB,4.5,0.7,0.012622808753112507,125,57.480000000000004
357-3187,DO_NOT_DISTURB,4.5,0.7,0.01562291879162971,137,67.62
375-9930,DO_NOT_DISTURB,4.5,0.7,0.014510865485254225,139,63.720000000000006
360-1776,DO_NOT_DISTURB,4.5,0.7,0.009187683266724792,131,45.279999999999994
404-9754,DO_NOT_DISTURB,4.5,0.7,0.014013969928333658,125,62.5
357-7893,DO_NOT_DISTURB,4.5,0.7,0.015672263498256376,86,70.26
369-2899,DO_NOT_DISTURB,4.5,0.7,0.009566708874555754,84,49.5
338-7232,DO_NOT_DISTURB,4.5,0.7,0.008348836855339473,160,40.69
358-7914,DO_NOT_DISTURB,4.5,0.7,0.009327644563058858,82,48.13
332-6958,DO_NOT_DISTURB,4.5,0.7,0.008612258049271107,89,45.24
418-4637,DO_NOT_DISTURB,4.5,0.7,0.016426458615993997,104,72.9
374-7285,DO_NOT_DISTURB,4.5,0.7,0.01667713097651103,97,73.06
357-7875,DO_NOT_DISTURB,4.5,0.7,0.016046286802254922,127,69.44999999999999
393-9677,DO_NOT_DISTURB,4.5,0.7,0.016653574223819852,125,72.59000000000002
338-1815,DO_NOT_DISTURB,4.5,0.7,0.014572146516756847,121,64.56
412-8769,DO_NOT_DISTURB,4.5,0.7,0.016014078438537388,145,68.66000000000001
389-4695,DO_NOT_DISTURB,4.5,0.7,0.016943662491038125,109,73.42999999999999
416-4464,DO_NOT_DISTURB,4.5,0.7,0.01427688180855491,106,64.58
347-1814,DO_NOT_DISTURB,4.5,0.7,0.012563749421073902,141,56.92999999999999
386-7337,DO_NOT_DISTURB,4.5,0.7,0.01467060938247926,98,66.75
375-8505,DO_NOT_DISTURB,4.5,0.7,0.01229735520471078,94,58.93000000000001
396-7687,DO_NOT_DISTURB,4.5,0.7,0.005725050725412101,112,33.97
394-4548,DO_NOT_DISTURB,4.5,0.7,0.011084972977601951,110,52.83
329-2388,DO_NOT_DISTURB,4.5,0.7,0.011186611122454788,122,52.739999999999995
342-1702,DO_NOT_DISTURB,4.5,0.7,0.009855456436361739,126,47.14
377-5258,DO_NOT_DISTURB,4.5,0.7,0.011712357596580096,100,55.85
373-3549,DO_NOT_DISTURB,4.5,0.7,0.014268801579952774,130,63.51
410-3725,DO_NOT_DISTURB,4.5,0.7,0.012479868947576049,89,59.37
341-6743,DO_NOT_DISTURB,4.5,0.7,0.017102943278389033,120,74.53999999999999
393-5897,DO_NOT_DISTURB,4.5,0.7,0.011810819529185598,99,56.260000000000005
343-3296,DO_NOT_DISTURB,4.5,0.7,0.013789827000917965,156,60.040000000000006
350-9318,DO_NOT_DISTURB,4.5,0.7,0.014533524458493118,132,64.27000000000001
343-2465,DO_NOT_DISTURB,4.5,0.7,0.015518753035324608,170,65.36
375-5414,DO_NOT_DISTURB,4.5,0.7,0.014893985934557126,132,65.45
344-9302,DO_NOT_DISTURB,4.5,0.7,0.014617104064377067,127,65.37
333-5551,DO_NOT_DISTURB,4.5,0.7,0.010362055341337635,166,47.71
380-2600,DO_NOT_DISTURB,4.5,0.7,0.012633024672120918,97,58.870000000000005
403-6565,DO_NOT_DISTURB,4.5,0.7,0.008836090966247441,104,44.87
381-1328,DO_NOT_DISTURB,4.5,0.7,0.010264968441061756,166,47.519999999999996
333-5295,DO_NOT_DISTURB,4.5,0.7,0.019258847130858608,126,81.16999999999999
329-8115,DO_NOT_DISTURB,4.5,0.7,0.011008245693022606,86,53.75999999999999
340-3409,DO_NOT_DISTURB,4.5,0.7,0.007049179374172809,138,37.18
376-4540,DO_NOT_DISTURB,4.5,0.7,0.01419580229847742,105,64.28
421-9846,DO_NOT_DISTURB,4.5,0.7,0.014161778456111312,217,57.870000000000005
376-4035,DO_NOT_DISTURB,4.5,0.7,0.015209195326055424,107,67.33999999999999
372-8925,DO_NOT_DISTURB,4.5,0.7,0.011731562232615112,118,54.49
386-8984,DO_NOT_DISTURB,4.5,0.7,0.010237383012625487,190,46.29
327-8732,DO_NOT_DISTURB,4.5,0.7,0.015334096297372108,100,68.58999999999999
389-6955,DO_NOT_DISTURB,4.5,0.7,0.01399456434481732,106,63.1
418-4658,DO_NOT_DISTURB,4.5,0.7,0.009506902654244474,93,48.34
347-9738,DO_NOT_DISTURB,4.5,0.7,0.013825563491956863,106,62.959999999999994
360-1406,DO_NOT_DISTURB,4.5,0.7,0.015484831822183812,124,68.08000000000001
406-4768,DO_NOT_DISTURB,4.5,0.7,0.013281347606707078,101,61.32
416-7452,DO_NOT_DISTURB,4.5,0.7,0.015615910026078709,98,69.99
422-5264,DO_NOT_DISTURB,4.5,0.7,0.009044058842379963,176,43.32
404-2877,DO_NOT_DISTURB,4.5,0.7,0.01251962656060484,118,57.7
408-4911,DO_NOT_DISTURB,4.5,0.7,0.009980567069433545,116,48.66
357-2294,DO_NOT_DISTURB,4.5,0.7,0.015436327473296176,83,69.99
348-9938,DO_NOT_DISTURB,4.5,0.7,0.013679080023436489,157,59.660000000000004
386-7976,DO_NOT_DISTURB,4.5,0.7,0.009427313285930845,123,47.16
405-3848,DO_NOT_DISTURB,4.5,0.7,0.016951376231760386,132,72.46
397-3943,DO_NOT_DISTURB,4.5,0.7,0.01407087530020996,122,62.51
346-5349,DO_NOT_DISTURB,4.5,0.7,0.007732740299774466,139,39.97
401-3685,DO_NOT_DISTURB,4.5,0.7,0.012036709081703335,99,56.62
371-4788,DO_NOT_DISTURB,4.5,0.7,0.008505609439201088,90,45.07
349-1756,DO_NOT_DISTURB,4.5,0.7,0.014176896560758167,115,63.58
417-2608,DO_NOT_DISTURB,4.5,0.7,0.012152759209358068,120,56.03
384-8629,DO_NOT_DISTURB,4.5,0.7,0.00751103420341533,88,41.059999999999995
395-4509,DO_NOT_DISTURB,4.5,0.7,0.01323604347670656,118,60.400000000000006
404-5057,DO_NOT_DISTURB,4.5,0.7,0.00841266546596262,83,44.519999999999996
329-8056,DO_NOT_DISTURB,4.5,0.7,0.011471155633845528,95,55.050000000000004
354-7718,DO_NOT_DISTURB,4.5,0.7,0.013666829519034621,141,59.74
407-9841,DO_NOT_DISTURB,4.5,0.7,0.009811510395085923,111,48.55
393-5208,DO_NOT_DISTURB,4.5,0.7,0.011752925458879519,94,56.260000000000005
342-8702,DO_NOT_DISTURB,4.5,0.7,0.011708276302888596,101,55.38999999999999
347-5843,DO_NOT_DISTURB,4.5,0.7,0.015905530290436613,151,67.63
365-7784,DO_NOT_DISTURB,4.5,0.7,0.014313596910925389,95,64.96
414-6739,DO_NOT_DISTURB,4.5,0.7,0.011407212014163372,141,52.31
412-3404,DO_NOT_DISTURB,4.5,0.7,0.015451192997683667,120,67.64999999999999
333-2964,DO_NOT_DISTURB,4.5,0.7,0.008809722297867134,94,45.980000000000004
399-1750,DO_NOT_DISTURB,4.5,0.7,0.010054921185079991,183,45.62
333-6575,DO_NOT_DISTURB,4.5,0.7,0.01441511900888751,194,60.55
376-1641,DO_NOT_DISTURB,4.5,0.7,0.010621164486753753,155,48.54
417-6044,DO_NOT_DISTURB,4.5,0.7,0.011262726454593091,93,54.49999999999999
