Phone Number,Customer_Category,Priority_Score,Priority_Level,Customer_Value_Score,Satisfaction_Score,Risk_Score,CustServ Calls,Account Length,Total_Charges
375-1476,PRIORITY_UPSELL_RETENTION,85.53191364934953,HIGH,0.017730454978317912,0.0,0.7,1,136,75.54
360-3324,PRIORITY_UPSELL_RETENTION,85.5217186267867,HIGH,0.017390620892889615,0.4,0.7,0,93,76.66999999999999
374-9107,PRIORITY_UPSELL_RETENTION,85.34010086873978,HIGH,0.011336695624659483,0.0,1.0,5,139,52.27
338-1027,PRIORITY_UPSELL_RETENTION,85.30026961376625,HIGH,0.010008987125541362,0.0,0.7,2,137,47.73
335-1697,PRIORITY_UPSELL_RETENTION,85.5260262673158,HIGH,0.017534208910526525,0.5,0.5,0,108,75.02000000000001
380-2558,PRIORITY_UPSELL_RETENTION,85.30268381387823,HIGH,0.010089460462607683,0.0,1.0,4,33,53.09
386-4170,PRIORITY_UPSELL_RETENTION,85.20827472524718,HIGH,0.006942490841572571,0.0,0.7,1,92,38.78
339-3049,PRIORITY_UPSELL_RETENTION,85.35612470602999,HIGH,0.011870823534333077,0.0,0.7,2,144,54.160000000000004
352-6976,PRIORITY_UPSELL_RETENTION,85.63450528348791,HIGH,0.021150176116263568,0.1,0.5,1,89,89.31
387-5860,PRIORITY_UPSELL_RETENTION,85.31812301879185,HIGH,0.010604100626394981,0.0,1.0,5,96,52.07
416-1676,PRIORITY_UPSELL_RETENTION,85.55769860956448,HIGH,0.0185899536521493,0.0,0.5,1,127,78.74000000000001
329-7347,PRIORITY_UPSELL_RETENTION,85.5324951392783,HIGH,0.017749837975943147,0.5,0.5,0,121,75.14999999999999
419-1714,PRIORITY_UPSELL_RETENTION,85.57086431332031,HIGH,0.019028810444010367,0.0,0.5,1,113,81.0
336-3819,PRIORITY_UPSELL_RETENTION,85.54182176845433,HIGH,0.018060725615144196,0.0,1.0,4,122,77.76
366-7912,PRIORITY_UPSELL_RETENTION,85.51247417000951,HIGH,0.01708247233365018,0.0,0.5,1,62,76.5
413-9269,PRIORITY_UPSELL_RETENTION,85.42658577188685,HIGH,0.014219525729561715,0.0,0.7,2,128,63.559999999999995
387-5453,PRIORITY_UPSELL_RETENTION,85.52696953380122,HIGH,0.01756565112670742,0.0,0.5,1,54,78.92999999999999
380-3437,PRIORITY_UPSELL_RETENTION,85.27934854902558,HIGH,0.009311618300853038,0.0,1.0,7,86,48.080000000000005
343-6940,PRIORITY_UPSELL_RETENTION,85.43107485211733,HIGH,0.014369161737244234,0.0,0.7,1,89,65.5
420-7823,PRIORITY_UPSELL_RETENTION,85.23330454822275,HIGH,0.007776818274091637,0.0,1.0,4,100,41.57
402-1942,PRIORITY_UPSELL_RETENTION,85.46414664227599,HIGH,0.01547155474253318,0.0,0.7,2,64,71.02
341-4463,PRIORITY_UPSELL_RETENTION,85.58932472996585,HIGH,0.019644157665528617,0.0,0.5,1,159,80.86999999999999
343-5709,PRIORITY_UPSELL_RETENTION,85.68161843904717,HIGH,0.022720614634905656,0.1,0.5,1,154,92.2
357-1909,PRIORITY_UPSELL_RETENTION,85.42849356704775,HIGH,0.01428311890159181,0.4,0.7,0,151,62.24
374-7787,PRIORITY_UPSELL_RETENTION,85.42601243535941,HIGH,0.0142004145119802,0.0,0.7,1,95,64.53
405-5305,PRIORITY_UPSELL_RETENTION,85.40777251260293,HIGH,0.013592417086764563,0.4,0.7,0,16,66.91000000000001
328-6011,PRIORITY_UPSELL_RETENTION,85.51179410837936,HIGH,0.017059803612645343,0.0,0.5,1,94,74.67
402-5155,PRIORITY_UPSELL_RETENTION,85.36943656255914,HIGH,0.012314552085304995,0.0,0.7,1,66,59.480000000000004
332-5521,PRIORITY_UPSELL_RETENTION,85.3432539046297,HIGH,0.011441796820989997,0.0,1.0,4,122,53.599999999999994
352-4418,PRIORITY_UPSELL_RETENTION,85.5466409521228,HIGH,0.018221365070760054,0.0,0.5,2,113,77.88
361-6563,PRIORITY_UPSELL_RETENTION,85.38737596050419,HIGH,0.012912532016806373,0.0,0.7,1,224,53.67
365-5979,PRIORITY_UPSELL_RETENTION,85.50822926085742,HIGH,0.016940975361913753,0.0,0.5,2,46,77.07
385-8997,PRIORITY_UPSELL_RETENTION,85.50762717188526,HIGH,0.01692090572950871,0.4,0.7,0,100,74.39999999999999
405-6189,PRIORITY_UPSELL_RETENTION,85.55534196879853,HIGH,0.018511398959951,0.0,0.5,1,97,79.89
418-6737,PRIORITY_UPSELL_RETENTION,85.52407850958281,HIGH,0.017469283652760362,0.0,0.7,1,88,77.1
352-8327,PRIORITY_UPSELL_RETENTION,85.34333567432526,HIGH,0.01144452247750853,0.0,1.0,3,71,56.41
334-9505,PRIORITY_UPSELL_RETENTION,85.47327043773466,HIGH,0.015775681257821656,0.0,1.0,3,132,68.38000000000001
418-6651,PRIORITY_UPSELL_RETENTION,85.31355654962314,HIGH,0.010451884987438013,0.0,1.0,4,72,52.25000000000001
375-2975,PRIORITY_UPSELL_RETENTION,85.43209090849228,HIGH,0.014403030283076247,0.0,0.7,1,55,67.42
376-8573,PRIORITY_UPSELL_RETENTION,85.37110401866812,HIGH,0.012370133955603995,0.0,0.7,2,92,57.9
343-1965,PRIORITY_UPSELL_RETENTION,85.33469734640408,HIGH,0.011156578213469388,0.0,1.0,4,75,55.440000000000005
366-7247,PRIORITY_UPSELL_RETENTION,85.46228453876392,HIGH,0.015409484625464258,0.0,0.7,1,93,69.21000000000001
405-3916,PRIORITY_UPSELL_RETENTION,85.46541910338772,HIGH,0.015513970112923946,0.0,0.8,3,92,68.68
397-9148,PRIORITY_UPSELL_RETENTION,85.36248719965559,HIGH,0.01208290665518611,0.0,1.0,5,118,56.230000000000004
411-7778,PRIORITY_UPSELL_RETENTION,85.46765041864745,HIGH,0.015588347288248348,0.4,0.7,0,60,72.18
394-8402,PRIORITY_UPSELL_RETENTION,85.21014534346826,HIGH,0.007004844782275245,0.0,1.0,4,88,39.17
416-2778,PRIORITY_UPSELL_RETENTION,85.56172653570859,HIGH,0.018724217856953107,0.0,0.8,9,152,77.67999999999999
418-6455,PRIORITY_UPSELL_RETENTION,85.52992537302107,HIGH,0.01766417910070241,0.0,0.7,2,69,78.67
378-3508,PRIORITY_UPSELL_RETENTION,85.29187473909732,HIGH,0.009729157969910716,0.0,1.0,5,95,49.129999999999995
364-7719,PRIORITY_UPSELL_RETENTION,85.34176096744244,HIGH,0.01139203224808128,0.0,1.0,4,111,54.22
419-8987,PRIORITY_UPSELL_RETENTION,85.55092443578616,HIGH,0.018364147859538518,0.0,0.8,3,44,82.32
339-7541,PRIORITY_UPSELL_RETENTION,85.42093262473432,HIGH,0.014031087491143842,0.0,0.7,2,74,64.77
344-3160,PRIORITY_UPSELL_RETENTION,85.50084768046374,HIGH,0.016694922682124382,0.0,0.7,2,133,71.86999999999999
419-1674,PRIORITY_UPSELL_RETENTION,85.51620822878543,HIGH,0.01720694095951449,0.0,0.5,2,44,77.54
353-6007,PRIORITY_UPSELL_RETENTION,85.55184422572783,HIGH,0.018394807524261078,0.1,0.5,1,113,78.19
420-9838,PRIORITY_UPSELL_RETENTION,85.52184398720112,HIGH,0.017394799573370704,0.4,0.5,0,104,75.65
345-1524,PRIORITY_UPSELL_RETENTION,85.29424058618929,HIGH,0.009808019539643055,0.0,1.0,5,101,48.66
386-2810,PRIORITY_UPSELL_RETENTION,85.31044776036136,HIGH,0.010348258678711933,0.4,0.7,0,62,53.16
373-2053,PRIORITY_UPSELL_RETENTION,85.64956361479403,HIGH,0.021652120493134336,0.1,0.5,2,112,90.46000000000001
380-7742,PRIORITY_UPSELL_RETENTION,85.45755665098599,HIGH,0.015251888366199852,0.0,0.7,1,105,68.15
383-1657,PRIORITY_UPSELL_RETENTION,85.57601466904597,HIGH,0.01920048896819912,0.4,0.5,0,110,81.81
348-8015,PRIORITY_UPSELL_RETENTION,85.41479400024215,HIGH,0.01382646667473832,0.4,0.7,0,95,63.519999999999996
372-6497,PRIORITY_UPSELL_RETENTION,85.57300450589906,HIGH,0.019100150196635513,0.4,0.5,0,76,83.37
411-5958,PRIORITY_UPSELL_RETENTION,85.51142655851243,HIGH,0.017047551950413964,0.0,0.8,3,79,75.56
416-8701,PRIORITY_UPSELL_RETENTION,85.34894573164435,HIGH,0.01163152438814501,0.0,1.0,5,79,56.25
405-4920,PRIORITY_UPSELL_RETENTION,85.5810106135872,HIGH,0.01936702045290641,0.0,0.5,1,109,82.38
384-2372,PRIORITY_UPSELL_RETENTION,85.5257641319719,HIGH,0.01752547106572981,0.0,0.5,1,75,77.32
420-9971,PRIORITY_UPSELL_RETENTION,85.50968027954784,HIGH,0.01698934265159443,0.0,0.7,1,115,74.05
327-3587,PRIORITY_UPSELL_RETENTION,85.21704319691321,HIGH,0.007234773230440384,0.0,1.0,6,103,39.65
353-8363,PRIORITY_UPSELL_RETENTION,85.52255487408223,HIGH,0.017418495802741213,0.0,1.0,3,94,76.4
398-3834,PRIORITY_UPSELL_RETENTION,85.30751444543957,HIGH,0.010250481514652413,0.0,1.0,5,68,52.24999999999999
330-7754,PRIORITY_UPSELL_RETENTION,85.33546651040785,HIGH,0.01118221701359503,0.0,0.7,2,91,54.169999999999995
383-4061,PRIORITY_UPSELL_RETENTION,85.48987487854023,HIGH,0.016329162618007854,0.4,0.7,0,122,71.1
339-6637,PRIORITY_UPSELL_RETENTION,85.27730710487705,HIGH,0.009243570162568422,0.0,1.0,5,149,44.67
371-9457,PRIORITY_UPSELL_RETENTION,85.35257106927361,HIGH,0.011752368975787084,0.0,0.7,1,127,54.620000000000005
393-7826,PRIORITY_UPSELL_RETENTION,85.4719437329838,HIGH,0.015731457766126618,0.0,0.7,2,24,74.11
397-6789,PRIORITY_UPSELL_RETENTION,85.51884120432372,HIGH,0.017294706810790542,0.0,0.7,1,69,77.34999999999998
364-9040,PRIORITY_UPSELL_RETENTION,85.34741560458005,HIGH,0.011580520152668132,0.0,0.7,1,68,56.75
341-1191,PRIORITY_UPSELL_RETENTION,85.56562857268952,HIGH,0.018854285756317337,0.0,0.5,2,75,82.28
409-4447,PRIORITY_UPSELL_RETENTION,85.31970867110857,HIGH,0.010656955703618985,0.0,1.0,3,121,50.949999999999996
335-1874,PRIORITY_UPSELL_RETENTION,85.57397494598729,HIGH,0.0191324981995763,0.0,0.5,2,87,83.14
410-6791,PRIORITY_UPSELL_RETENTION,85.41545374648211,HIGH,0.013848458216070341,0.0,0.7,1,96,63.010000000000005
367-8168,PRIORITY_UPSELL_RETENTION,85.38143655434651,HIGH,0.012714551811550017,0.0,1.0,3,136,58.129999999999995
374-9203,PRIORITY_UPSELL_RETENTION,85.54957669539641,HIGH,0.0183192231798804,0.0,0.8,3,93,79.36999999999999
366-3358,PRIORITY_UPSELL_RETENTION,85.54140016999862,HIGH,0.018046672333287616,0.0,0.8,4,98,78.13
395-6195,PRIORITY_UPSELL_RETENTION,85.38676940201691,HIGH,0.012892313400563554,0.0,0.7,1,109,59.370000000000005
346-7656,PRIORITY_UPSELL_RETENTION,85.27618336874949,HIGH,0.009206112291649438,0.0,1.0,4,97,46.910000000000004
370-5527,PRIORITY_UPSELL_RETENTION,85.5652432216298,HIGH,0.018841440720993387,0.0,0.5,2,23,85.46
370-2688,PRIORITY_UPSELL_RETENTION,85.49853849434007,HIGH,0.016617949811335582,0.0,0.5,1,61,75.08000000000001
418-9036,PRIORITY_UPSELL_RETENTION,85.33864519255354,HIGH,0.011288173085118003,0.0,1.0,4,161,51.489999999999995
402-3892,PRIORITY_UPSELL_RETENTION,85.61319969912991,HIGH,0.020439989970997084,0.0,0.8,5,118,85.7
355-2464,PRIORITY_UPSELL_RETENTION,85.6614695762068,HIGH,0.022048985873560148,0.5,0.5,0,179,88.13000000000001
368-7555,PRIORITY_UPSELL_RETENTION,85.31205122354282,HIGH,0.010401707451427265,0.0,0.7,1,74,52.18
399-9802,PRIORITY_UPSELL_RETENTION,85.34502238437393,HIGH,0.011500746145797816,0.0,1.0,4,81,55.919999999999995
332-5949,PRIORITY_UPSELL_RETENTION,85.52284431833101,HIGH,0.017428143944367095,0.0,0.5,2,46,78.77000000000001
408-4529,PRIORITY_UPSELL_RETENTION,85.40302708026479,HIGH,0.013434236008826558,0.0,0.7,2,48,63.92000000000001
370-9755,PRIORITY_UPSELL_RETENTION,85.41248902560085,HIGH,0.013749634186695038,0.0,0.7,1,122,61.88999999999999
332-6181,PRIORITY_UPSELL_RETENTION,85.60346380046325,HIGH,0.020115460015441643,0.4,0.5,0,129,84.56
413-5190,PRIORITY_UPSELL_RETENTION,85.28466185749203,HIGH,0.009488728583067353,0.0,1.0,4,93,48.209999999999994
394-7447,PRIORITY_UPSELL_RETENTION,85.5707594577081,HIGH,0.01902531525693703,0.0,0.8,4,63,83.52000000000001
345-9140,PRIORITY_UPSELL_RETENTION,85.67815744392321,HIGH,0.022605248130773695,0.1,0.5,1,64,96.15
369-8024,PRIORITY_UPSELL_RETENTION,85.54410948519988,HIGH,0.0181369828399961,0.0,0.5,1,110,78.17
387-9137,PRIORITY_UPSELL_RETENTION,85.5255588853863,HIGH,0.017518629512876988,0.0,0.7,2,133,75.28999999999999
408-6326,PRIORITY_UPSELL_RETENTION,85.5026289455278,HIGH,0.016754298184260087,0.0,0.7,1,76,75.11999999999999
329-2786,PRIORITY_UPSELL_RETENTION,85.49414099789148,HIGH,0.016471366596382372,0.0,0.5,1,161,69.16
400-6257,PRIORITY_UPSELL_RETENTION,85.46130263648855,HIGH,0.015376754549618664,0.0,0.7,2,99,68.68
338-6962,PRIORITY_UPSELL_RETENTION,85.21354563074468,HIGH,0.007118187691489058,0.0,1.0,5,112,39.13
344-7197,PRIORITY_UPSELL_RETENTION,85.3154715974777,HIGH,0.010515719915923268,0.0,1.0,4,108,51.010000000000005
333-7631,PRIORITY_UPSELL_RETENTION,85.56769448373947,HIGH,0.018923149457982347,0.4,0.5,0,80,82.8
332-5084,PRIORITY_UPSELL_RETENTION,85.31714663158313,HIGH,0.0105715543861042,0.0,1.0,4,111,51.269999999999996
401-8735,PRIORITY_UPSELL_RETENTION,85.44868283405583,HIGH,0.014956094468527754,0.0,0.7,2,135,65.64
368-1288,PRIORITY_UPSELL_RETENTION,85.35549614898214,HIGH,0.011849871632738063,0.0,0.7,1,98,56.4
390-7930,PRIORITY_UPSELL_RETENTION,85.33912766749354,HIGH,0.011304255583118239,0.0,1.0,5,91,54.519999999999996
362-5111,PRIORITY_UPSELL_RETENTION,85.47275764950128,HIGH,0.01575858831670896,0.0,0.7,1,159,66.77
350-7306,PRIORITY_UPSELL_RETENTION,85.3073298701244,HIGH,0.010244329004146926,0.0,1.0,5,64,52.24
338-6018,PRIORITY_UPSELL_RETENTION,85.55587353586797,HIGH,0.01852911786226572,0.0,0.5,1,106,79.56000000000002
385-8184,PRIORITY_UPSELL_RETENTION,85.27718045695701,HIGH,0.009239348565233582,0.0,1.0,6,105,46.58
368-5437,PRIORITY_UPSELL_RETENTION,85.34861809417413,HIGH,0.01162060313913769,0.0,1.0,5,132,54.19
409-4734,PRIORITY_UPSELL_RETENTION,85.33934671703128,HIGH,0.011311557234375783,0.0,1.0,4,167,50.9
346-5068,PRIORITY_UPSELL_RETENTION,85.5377296271815,HIGH,0.017924320906050038,0.0,1.0,3,172,74.75
358-4576,PRIORITY_UPSELL_RETENTION,85.52323285471502,HIGH,0.017441095157167522,0.0,0.8,4,88,76.17999999999999
352-5118,PRIORITY_UPSELL_RETENTION,85.31594104912152,HIGH,0.010531368304050628,0.0,1.0,5,119,51.06
343-7019,PRIORITY_UPSELL_RETENTION,85.47989771174265,HIGH,0.01599659039142192,0.0,0.7,1,78,72.24
334-8694,PRIORITY_UPSELL_RETENTION,85.52027372668509,HIGH,0.017342457556169637,0.4,0.7,0,105,75.71
369-5449,PRIORITY_UPSELL_RETENTION,85.4315350507854,HIGH,0.014384501692846668,0.4,0.7,0,24,69.36
356-8449,PRIORITY_UPSELL_RETENTION,85.36354133859749,HIGH,0.012118044619916122,0.0,1.0,4,108,56.44
390-9811,PRIORITY_UPSELL_RETENTION,85.41470278374734,HIGH,0.013823426124911409,0.0,0.7,2,62,64.68
351-7005,PRIORITY_UPSELL_RETENTION,85.33161727005647,HIGH,0.011053909001882483,0.0,0.7,1,40,57.07000000000001
364-7644,PRIORITY_UPSELL_RETENTION,85.27636556126586,HIGH,0.009212185375528922,0.0,1.0,4,55,49.24
357-9136,PRIORITY_UPSELL_RETENTION,85.23615544866139,HIGH,0.007871848288713268,0.0,1.0,6,28,45.39000000000001
373-1448,PRIORITY_UPSELL_RETENTION,85.52801133177617,HIGH,0.017600377725872415,0.0,0.5,1,51,78.88
413-2241,PRIORITY_UPSELL_RETENTION,85.54113130494132,HIGH,0.018037710164710532,0.4,0.7,0,163,75.14
375-4107,PRIORITY_UPSELL_RETENTION,85.30964443182403,HIGH,0.010321481060800875,0.4,0.7,0,58,52.38
377-1293,PRIORITY_UPSELL_RETENTION,85.54971695346748,HIGH,0.01832389844891588,0.0,0.8,5,135,77.48
394-4520,PRIORITY_UPSELL_RETENTION,85.49879048940265,HIGH,0.016626349646754933,0.0,0.7,2,49,75.94000000000001
419-1863,PRIORITY_UPSELL_RETENTION,85.53423220063384,HIGH,0.017807740021127942,0.0,0.7,1,171,74.25000000000001
395-9215,PRIORITY_UPSELL_RETENTION,85.4005298406845,HIGH,0.013350994689483522,0.0,1.0,3,82,62.199999999999996
399-3083,PRIORITY_UPSELL_RETENTION,85.19327568963772,HIGH,0.006442522987924055,0.0,0.7,1,45,39.57
415-8448,PRIORITY_UPSELL_RETENTION,85.22210656273224,HIGH,0.007403552091074395,0.0,0.7,2,2,45.400000000000006
382-5401,PRIORITY_UPSELL_RETENTION,85.30830178564942,HIGH,0.010276726188314015,0.0,1.0,6,17,54.620000000000005
411-4714,PRIORITY_UPSELL_RETENTION,85.2676483728236,HIGH,0.00892161242745358,0.0,0.7,2,193,40.97
379-8681,PRIORITY_UPSELL_RETENTION,85.56168685352446,HIGH,0.018722895117482055,0.0,0.7,1,126,79.75999999999999
346-1629,PRIORITY_UPSELL_RETENTION,85.44105921829812,HIGH,0.014701973943270902,0.4,0.7,0,97,66.49
374-9576,PRIORITY_UPSELL_RETENTION,85.31800235047794,HIGH,0.010600078349264656,0.0,1.0,4,90,52.44
387-7371,PRIORITY_UPSELL_RETENTION,85.51696064875927,HIGH,0.01723202162530875,0.4,0.7,0,111,74.89999999999999
392-2555,PRIORITY_UPSELL_RETENTION,85.07576926229461,HIGH,0.0025256420764870444,0.0,1.0,4,98,22.93
403-9167,PRIORITY_UPSELL_RETENTION,85.30384094649473,HIGH,0.01012803154982438,0.0,0.7,1,106,49.769999999999996
357-6039,PRIORITY_UPSELL_RETENTION,85.55858363251595,HIGH,0.018619454417198034,0.4,0.5,0,55,82.58
414-1496,PRIORITY_UPSELL_RETENTION,85.47249229935869,HIGH,0.015749743311956485,0.0,0.5,1,73,71.04
339-1330,PRIORITY_UPSELL_RETENTION,85.55560517161543,HIGH,0.018520172387180706,0.0,0.5,1,115,78.82
399-6233,PRIORITY_UPSELL_RETENTION,85.27525662515832,HIGH,0.009175220838610712,0.0,1.0,4,108,46.01
405-3097,PRIORITY_UPSELL_RETENTION,85.51417911445101,HIGH,0.01713930381503376,0.0,0.8,4,65,76.3
413-4040,PRIORITY_UPSELL_RETENTION,85.50865611065915,HIGH,0.016955203688638253,0.0,1.0,3,101,74.36
366-5829,PRIORITY_UPSELL_RETENTION,85.26904841789857,HIGH,0.008968280596619332,0.0,1.0,4,125,44.7
412-2520,PRIORITY_UPSELL_RETENTION,85.2903676811585,HIGH,0.00967892270528335,0.0,1.0,6,73,49.279999999999994
393-6840,PRIORITY_UPSELL_RETENTION,85.33322445096043,HIGH,0.011107481698681086,0.0,1.0,3,81,54.489999999999995
380-4080,PRIORITY_UPSELL_RETENTION,85.29758426356496,HIGH,0.009919475452165134,0.4,0.7,0,89,49.94
390-9627,PRIORITY_UPSELL_RETENTION,85.40832871516105,HIGH,0.013610957172034702,0.0,0.7,1,102,62.330000000000005
398-8745,PRIORITY_UPSELL_RETENTION,85.41366198271008,HIGH,0.013788732757002915,0.0,0.7,2,133,61.269999999999996
413-7743,PRIORITY_UPSELL_RETENTION,85.40319967816995,HIGH,0.013439989272332045,0.4,0.7,0,67,63.43000000000001
400-7002,PRIORITY_UPSELL_RETENTION,85.54021552490111,HIGH,0.01800718416337045,0.0,0.5,1,76,79.54
343-5219,PRIORITY_UPSELL_RETENTION,85.33000363477741,HIGH,0.011000121159246926,0.0,1.0,3,107,52.54
344-3466,PRIORITY_UPSELL_RETENTION,85.3059792551649,HIGH,0.010199308505496428,0.0,1.0,4,126,49.33
403-8916,PRIORITY_UPSELL_RETENTION,85.47169871786049,HIGH,0.015723290595349822,0.0,0.5,1,68,71.28999999999999
337-7167,PRIORITY_UPSELL_RETENTION,85.42620219742716,HIGH,0.01420673991423849,0.4,0.7,0,143,62.519999999999996
377-1273,PRIORITY_UPSELL_RETENTION,85.52642985268767,HIGH,0.01754766175625568,0.0,0.5,1,81,77.16
380-7816,PRIORITY_UPSELL_RETENTION,85.18440583429873,HIGH,0.006146861143291122,0.0,1.0,4,138,33.849999999999994
402-6744,PRIORITY_UPSELL_RETENTION,85.31032683761461,HIGH,0.010344227920487163,0.4,0.7,0,103,50.839999999999996
400-2181,PRIORITY_UPSELL_RETENTION,85.53120334644218,HIGH,0.017706778214739493,0.0,0.5,2,127,75.48
366-1613,PRIORITY_UPSELL_RETENTION,85.53052873176597,HIGH,0.017684291058865632,0.0,0.5,1,136,74.89
384-8723,PRIORITY_UPSELL_RETENTION,85.34807638478497,HIGH,0.011602546159499263,0.0,1.0,4,118,54.53
341-7686,PRIORITY_UPSELL_RETENTION,85.14678865636778,HIGH,0.004892955212259375,0.0,1.0,5,113,30.830000000000002
371-2500,PRIORITY_UPSELL_RETENTION,85.47046208039382,HIGH,0.01568206934646058,0.4,0.7,0,225,63.18
366-2273,PRIORITY_UPSELL_RETENTION,85.50348459452552,HIGH,0.0167828198175171,0.0,0.5,2,85,74.06
405-1108,PRIORITY_UPSELL_RETENTION,85.6002905845659,HIGH,0.020009686152196674,0.1,0.5,1,105,84.67
387-2604,PRIORITY_UPSELL_RETENTION,85.56845959267291,HIGH,0.018948653089096996,0.4,0.5,0,99,81.41
417-4810,PRIORITY_UPSELL_RETENTION,85.56705306417578,HIGH,0.01890176880585942,0.0,0.5,1,184,76.98
368-7706,PRIORITY_UPSELL_RETENTION,85.30014995206199,HIGH,0.010004998402066298,0.0,1.0,4,149,47.07
337-8618,PRIORITY_UPSELL_RETENTION,85.30840155574558,HIGH,0.010280051858185977,0.0,1.0,4,66,52.50000000000001
405-2276,PRIORITY_UPSELL_RETENTION,85.33009880536001,HIGH,0.011003293512000155,0.0,1.0,6,116,52.529999999999994
372-7990,PRIORITY_UPSELL_RETENTION,85.56065383495199,HIGH,0.018688461165066592,0.4,0.7,0,173,77.3
406-9926,PRIORITY_UPSELL_RETENTION,85.35299980777958,HIGH,0.011766660259319517,0.0,0.7,1,64,58.45
384-3299,PRIORITY_UPSELL_RETENTION,85.30844760582104,HIGH,0.010281586860701502,0.0,0.7,1,93,51.02
395-7923,PRIORITY_UPSELL_RETENTION,85.36240863547093,HIGH,0.012080287849030895,0.0,1.0,5,197,52.07
377-4169,PRIORITY_UPSELL_RETENTION,85.48968478302811,HIGH,0.016322826100936882,0.0,0.7,1,76,73.25
393-4823,PRIORITY_UPSELL_RETENTION,85.62185736479799,HIGH,0.020728578826599578,0.5,0.5,0,82,88.66
348-5725,PRIORITY_UPSELL_RETENTION,85.51569053405723,HIGH,0.01718968446857444,0.0,0.7,2,95,75.63
365-2008,PRIORITY_UPSELL_RETENTION,85.50621532643264,HIGH,0.01687384421442112,0.0,0.5,1,79,74.99
380-8727,PRIORITY_UPSELL_RETENTION,85.33036244023076,HIGH,0.011012081341025047,0.0,1.0,7,99,52.76
374-1981,PRIORITY_UPSELL_RETENTION,85.56104280670463,HIGH,0.01870142689015466,0.0,0.5,2,34,84.08
333-5101,PRIORITY_UPSELL_RETENTION,85.3463327416518,HIGH,0.011544424721726895,0.0,1.0,4,140,52.699999999999996
